Rok produkcji:|Przebieg:|Pojemność silnika:
2008|290000 km|1900 cm³
2008|189000 km|1900 cm³
2009|115500 km|1400 cm³
2009|101000 km|1400 cm³
2006|136000 km|1980 cm³
2007|208000 km|3195 cm³
2010|154000 km|1400 cm³
2010|190000 km|1600 cm³
2007|250000 km|2400 cm³
2000|311000 km|1900 cm³
2004|255000 km|1910 cm³
2006|90000 km|3200 cm³
2007|290000 km|1999 cm³
2006|202000 km|1900 cm³
2007|1 km|1900 cm³
2008|211780 km|3195 cm³
2006|180000 km|3200 cm³
2007|128000 km|2200 cm³
2010|202000 km|1910 cm³
2009|198748 km|1900 cm³
1997|275000 km|1750 cm³
2007|252000 km|1910 cm³
2014|169000 km|1600 cm³
2011|99000 km|1400 cm³
2007|85034 km|136 cm³
2019|10 km|2891 cm³
2014|113000 km|1600 cm³
2007|214000 km|2400 cm³
2005|192000 km|2400 cm³
2007|207300 km|1900 cm³
2019|5 km|1995 cm³
2005|273000 km|2200 cm³
2006|209000 km|1910 cm³
2008|142000 km|2400 cm³
1980|126000 km|2000 cm³
2006|231491 km|1910 cm³
2018|4300 km|1995 cm³
2007|108000 km|1900 cm³
2009|230000 km|1800 cm³
2007|191086 km|1900 cm³
2007|202000 km|1800 cm³
2011|156000 km|2000 cm³
2002|334652 km|1900 cm³
2006|94000 km|1900 cm³
2005|174000 km|1910 cm³
2003|243000 km|1598 cm³
2006|254 km|19 cm³
2015|140000 km|1599 cm³
2017|7036 km|1995 cm³
2019|0 km|1995 cm³
2007|100000 km|1900 cm³
2010|138632 km|1400 cm³
2006|176000 km|1910 cm³
2018|5 km|1995 cm³
2018|400 km|1995 cm³
2011|129000 km|1400 cm³
2011|82000 km|1400 cm³
2004|219200 km|1900 cm³
2006|201397 km|2198 cm³
2008|188000 km|1910 cm³
2007|207200 km|1910 cm³
2007|265000 km|1900 cm³
2001|220652 km|1600 cm³
2006|195558 km|1598 cm³
2019|5 km|1995 cm³
2005|250000 km|1900 cm³
2019|5 km|1368 cm³
2004|212630 km|1970 cm³
2014|113000 km|1600 cm³
2009|192447 km|1248 cm³
2009|151500 km|1248 cm³
2004|131000 km|2000 cm³
2006|250000 km|1910 cm³
2009|151500 km|1248 cm³
2006|150000 km|1859 cm³
2018|5 km|1998 cm³
2018|5 km|1995 cm³
1999|250000 km|1910 cm³
2008|276000 km|3195 cm³
2006|210000 km|1910 cm³
2002|178000 km|1598 cm³
2008|230000 km|1900 cm³
2006|178000 km|1598 cm³
2004|176000 km|1400 cm³
2007|166500 km|3195 cm³
2012|117000 km|1600 cm³
2009|240000 km|2000 cm³
2008|172000 km|2400 cm³
2019|1 km|1996 cm³
2019|5 km|1368 cm³
2004|272000 km|1900 cm³
2011|140000 km|1990 cm³
2005|215000 km|1910 cm³
2019|3 km|1996 cm³
2019|1 km|1998 cm³
2010|49211 km|1368 cm³
2002|242203 km|1 cm³
2019|5 km|1995 cm³
2018|9607 km|1998 cm³
2007|235000 km|1900 cm³
2019|5 km|1998 cm³
2001|328000 km|1910 cm³
2018|3 km|1998 cm³
2018|10 km|2143 cm³
2018|5 km|1998 cm³
2019|5 km|1998 cm³
1999|186000 km|1600 cm³
2010|53000 km|1300 cm³
2018|5 km|1998 cm³
2018|7685 km|1998 cm³
2018|5 km|1998 cm³
2018|5 km|1368 cm³
2018|5 km|1998 cm³
2003|238000 km|1598 cm³
2019|1 km|2000 cm³
2007|183000 km|1900 cm³
2009|174000 km|1368 cm³
2018|35 km|1368 cm³
2018|1300 km|1995 cm³
2004|190000 km|1900 cm³
