Rok produkcji:|Przebieg:|Pojemność silnika:
2009|183000 km|3000 cm³
2016|93000 km|2000 cm³
2012|217000 km|2993 cm³
2013|110500 km|1995 cm³
2013|123000 km|2000 cm³
2013|90483 km|2000 cm³
2012|58000 km|3000 cm³
2014|77000 km|2993 cm³
2013|211000 km|2000 cm³
2014|95977 km|1995 cm³
2007|170902 km|2993 cm³
2011|121564 km|2000 cm³
2008|229000 km|2000 cm³
2004|285400 km|3000 cm³
2018|19409 km|2979 cm³
2008|270 km|3000 cm³
2015|60000 km|2000 cm³
2010|194200 km|3000 cm³
2013|181788 km|2000 cm³
2008|199025 km|1595 cm³
2010|350 km|3000 cm³
2001|302500 km|3000 cm³
1999|324000 km|1895 cm³
2014|180 km|1995 cm³
2007|245000 km|2000 cm³
2009|225000 km|2997 cm³
2011|223949 km|2000 cm³
2010|156854 km|2000 cm³
2014|224000 km|2000 cm³
2008|287000 km|2000 cm³
2006|220000 km|3000 cm³
2009|2009 km|3000 cm³
2003|212000 km|4400 cm³
2005|327579 km|3000 cm³
2004|243400 km|2200 cm³
2007|250000 km|2000 cm³
2010|252802 km|2000 cm³
2008|300 km|3000 cm³
2014|155 km|1997 cm³
2007|225000 km|3000 cm³
2015|155 km|2000 cm³
2011|151000 km|3000 cm³
2007|230000 km|4800 cm³
2019|6000 km|3000 cm³
2012|224000 km|2000 cm³
2015|199000 km|3000 cm³
2015|168 km|2000 cm³
2012|164000 km|2000 cm³
1997|0 km|4000 cm³
2017|83 km|2000 cm³
1997|200000 km|2793 cm³
2018|10000 km|2993 cm³
2012|83000 km|1997 cm³
2007|185000 km|2000 cm³
2010|2010 km|3000 cm³
2008|2008 km|2000 cm³
2015|95000 km|3000 cm³
2000|249528 km|2979 cm³
2012|170000 km|3000 cm³
2012|194914 km|1995 cm³
