Rok produkcji:|Przebieg:|Pojemność silnika:
2012|105000 km|3600 cm³
2009|179150 km|1991 cm³
2015|22000 km|3600 cm³
2015|40000 km|6200 cm³
2006|190000 km|3200 cm³
2015|49000 km|6162 cm³
2012|280000 km|1200 cm³
2015|49000 km|6162 cm³
2001|283000 km|3800 cm³
2015|49000 km|6162 cm³
2009|171000 km|2000 cm³
2012|71696 km|91 cm³
2013|25312 km|50 cm³
2010|160000 km|3600 cm³
2016|30000 km|1998 cm³
2012|120000 km|6200 cm³
2014|89000 km|6200 cm³
2017|14000 km|6200 cm³
2017|9000 km|6200 cm³
2015|112000 km|3600 cm³
2004|17000 km|1990 cm³
2013|72000 km|6162 cm³
2007|182000 km|2000 cm³
2014|95000 km|2000 cm³
2012|160000 km|2200 cm³
2014|53000 km|1400 cm³
2008|240000 km|2000 cm³
2011|140000 km|1800 cm³
1979|96651 km|5733 cm³
2007|214000 km|1998 cm³
2007|198000 km|2 cm³
2010|117926 km|1991 cm³
2006|155000 km|3200 cm³
2011|155000 km|1400 cm³
2008|108000 km|5300 cm³
2006|282000 km|1598 cm³
2007|120000 km|1200 cm³
2001|270000 km|5300 cm³
2011|211000 km|1800 cm³
2012|137541 km|1998 cm³
2006|130000 km|2000 cm³
2010|151416 km|2000 cm³
2012|212000 km|2200 cm³
2009|205000 km|2000 cm³
2013|113000 km|995 cm³
2011|304000 km|2231 cm³
2012|120000 km|1800 cm³
2010|91000 km|998 cm³
2011|2011 km|6200 cm³
2010|129262 km|2000 cm³
2007|305095 km|2405 cm³
2012|132339 km|1800 cm³
2011|128500 km|1998 cm³
2006|124982 km|2000 cm³
2009|179150 km|1991 cm³
2007|140000 km|2400 cm³
2007|190000 km|1996 cm³
2003|1 km|4200 cm³
2010|184000 km|2000 cm³
2008|191166 km|1991 cm³
