Rok produkcji:|Przebieg:|Pojemność silnika:
2007|110676 km|3800 cm³
2007|190000 km|2700 cm³
2001|138 km|1600 cm³
2004|175000 km|2800 cm³
2007|104000 km|4000 cm³
2007|198000 km|2987 cm³
2006|188000 km|2400 cm³
2013|32000 km|3600 cm³
2003|155000 km|2700 cm³
2005|175000 km|3500 cm³
2014|126000 km|3600 cm³
2008|399700 km|3000 cm³
2012|206000 km|3490 cm³
2001|230000 km|2700 cm³
2006|300000 km|3000 cm³
2007|51000 km|2700 cm³
2008|190000 km|2800 cm³
2017|40100 km|3604 cm³
2007|162000 km|3200 cm³
2010|178779 km|3518 cm³
2004|249758 km|1598 cm³
2003|1 km|3300 cm³
2003|350000 km|3800 cm³
2016|90000 km|2400 cm³
2014|144000 km|3600 cm³
2000|243 km|3500 cm³
2017|17000 km|3600 cm³
2012|162000 km|3600 cm³
2013|173000 km|3600 cm³
2012|148650 km|3600 cm³
2000|230000 km|3300 cm³
2015|139500 km|3600 cm³
2006|210000 km|3500 cm³
2007|270000 km|2800 cm³
2008|327000 km|2777 cm³
2018|28141 km|3605 cm³
2013|118393 km|3600 cm³
2003|110000 km|24 cm³
1999|451000 km|2700 cm³
2001|280000 km|2500 cm³
2005|10 km|2500 cm³
2001|280000 km|3500 cm³
2005|160000 km|3800 cm³
2008|231300 km|2800 cm³
2017|33519 km|3605 cm³
2015|55000 km|3600 cm³
2017|17000 km|3600 cm³
2007|260000 km|2000 cm³
2016|73000 km|3600 cm³
2007|195000 km|2800 cm³
2014|129871 km|3604 cm³
2002|90000 km|2700 cm³
2007|160000 km|2400 cm³
2005|196500 km|2800 cm³
2016|109000 km|3600 cm³
2001|243215 km|3300 cm³
2004|165000 km|5700 cm³
2007|176000 km|2200 cm³
2011|184000 km|3604 cm³
2001|138 km|1600 cm³
