Rok produkcji:|Przebieg:|Pojemność silnika:
2012|140000 km|1997 cm³
2009|205000 km|2000 cm³
2015|130000 km|2000 cm³
2008|105000 km|2700 cm³
2014|152000 km|1600 cm³
2008|203000 km|1997 cm³
2014|180000 km|1600 cm³
2008|168800 km|3000 cm³
2009|176000 km|1600 cm³
2013|256000 km|1600 cm³
2007|265000 km|1600 cm³
2005|176000 km|1800 cm³
2010|223000 km|1997 cm³
2011|187000 km|1600 cm³
2014|159488 km|1398 cm³
2009|298000 km|1998 cm³
2014|110000 km|1600 cm³
2006|161670 km|1800 cm³
2015|33000 km|1600 cm³
2015|149284 km|1560 cm³
2007|220000 km|1800 cm³
2008|190000 km|2200 cm³
2008|197000 km|2000 cm³
2008|138930 km|92 cm³
2002|199414 km|55 cm³
2016|38949 km|88 cm³
2006|224551 km|80 cm³
2006|90265 km|65 cm³
2005|36687 km|54 cm³
2007|201000 km|2179 cm³
2013|136800 km|1400 cm³
2005|199900 km|1600 cm³
2018|1 km|1199 cm³
2018|1 km|1199 cm³
2018|1 km|1199 cm³
2003|205000 km|2200 cm³
2001|190000 km|1400 cm³
2010|239000 km|2000 cm³
2012|149000 km|1997 cm³
2007|145000 km|1600 cm³
2013|317000 km|1600 cm³
2013|95500 km|1600 cm³
2018|10000 km|1600 cm³
2005|391045 km|1868 cm³
2012|163000 km|1997 cm³
2015|189000 km|2000 cm³
2001|307000 km|1996 cm³
2008|250000 km|1600 cm³
2009|211000 km|1997 cm³
2013|230000 km|1600 cm³
2014|250 km|1560 cm³
2015|158000 km|2000 cm³
2011|365000 km|1600 cm³
2009|241900 km|1997 cm³
2015|41230 km|1199 cm³
2010|174400 km|2000 cm³
2012|98000 km|1997 cm³
2015|122000 km|1600 cm³
2009|162300 km|1600 cm³
2005|198400 km|1997 cm³
