Rok produkcji:|Przebieg:|Pojemność silnika:
2019|0 km|1598 cm³
2013|41527 km|1149 cm³
2018|85000 km|1000 cm³
2017|19600 km|1600 cm³
2014|51000 km|1600 cm³
2017|23000 km|900 cm³
2011|109845 km|1600 cm³
2013|127000 km|1500 cm³
2015|71000 km|1500 cm³
2010|146000 km|1600 cm³
2010|162000 km|1598 cm³
2012|35000 km|1600 cm³
2016|221041 km|900 cm³
2016|90800 km|1598 cm³
2018|3500 km|1600 cm³
2014|137700 km|1500 cm³
2017|13000 km|1600 cm³
2008|183000 km|1461 cm³
2018|4100 km|900 cm³
2012|105000 km|1600 cm³
2018|9767 km|1598 cm³
2019|10 km|899 cm³
2009|46000 km|1400 cm³
2018|15500 km|1598 cm³
2015|27000 km|898 cm³
2010|104022 km|1461 cm³
2012|900000 km|1500 cm³
2019|10 km|899 cm³
2017|43000 km|1200 cm³
2009|106000 km|1600 cm³
2013|93000 km|1600 cm³
2017|98600 km|1149 cm³
2017|33500 km|898 cm³
2019|10 km|899 cm³
2017|89992 km|1461 cm³
2014|87069 km|898 cm³
2014|101650 km|1461 cm³
2014|72000 km|1461 cm³
2011|137900 km|1500 cm³
2012|119968 km|1600 cm³
2010|59000 km|1598 cm³
2018|15610 km|898 cm³
2013|146000 km|1461 cm³
2011|161404 km|1600 cm³
2016|57000 km|1598 cm³
2018|12300 km|1000 cm³
2016|130595 km|1149 cm³
2017|32500 km|1461 cm³
2015|127000 km|1461 cm³
2016|42907 km|1149 cm³
2012|99470 km|1598 cm³
2015|92000 km|1598 cm³
2013|130364 km|1461 cm³
2015|111000 km|1461 cm³
2015|21720 km|1598 cm³
2015|84031 km|1598 cm³
2010|197863 km|1461 cm³
2013|178000 km|1598 cm³
2016|18000 km|1598 cm³
2018|13070 km|898 cm³
