Rok produkcji:|Przebieg:|Pojemność silnika:
1996|110000 km|796 cm³
1999|177000 km|1498 cm³
1999|248350 km|1498 cm³
2003|124200 km|796 cm³
1999|377300 km|1498 cm³
1999|82051 km|796 cm³
1998|132000 km|1498 cm³
2000|114000 km|796 cm³
2005|190000 km|796 cm³
1999|195000 km|796 cm³
2000|152000 km|796 cm³
2004|181330 km|1349 cm³
1999|160000 km|800 cm³
1998|180000 km|1400 cm³
2000|2 km|1600 cm³
1999|103702 km|38 cm³
2003|146782 km|38 cm³
1999|143700 km|63 cm³
2000|148800 km|796 cm³
2000|135820 km|800 cm³
2003|103000 km|1800 cm³
